,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,N,P,K ,temperature ,humidity,pH,rainfall
42293,Bihar,SAMASTIPUR,2008,Rabi       ,maize,28314,113851,60,46,22,24.89364635,65.61418761,6.625404348,87.9298085
42303,Bihar,SAMASTIPUR,2008,Summer     ,maize,16728,54398,98,44,21,25.77175115,74.089114,6.524478032,107.4931917
42312,Bihar,SAMASTIPUR,2009,Autumn     ,maize,12147,23714,75,56,18,19.39851734,62.35750641,5.696205468,60.95197486
42328,Bihar,SAMASTIPUR,2009,Rabi       ,maize,25564,49952,86,55,21,21.54156232,59.64024162,6.803931519,109.7515385
42335,Bihar,SAMASTIPUR,2009,Summer     ,maize,20306,62957,98,35,18,23.79746068,74.82913698,6.252797548,91.76337172
42340,Bihar,SAMASTIPUR,2010,Autumn     ,maize,11869,20968,76,57,18,18.9802729,74.52600826,6.092725883,94.26249353
42355,Bihar,SAMASTIPUR,2010,Rabi       ,maize,28564,149180,99,56,17,24.10859207,73.13112261,6.234330356,71.07562236
42361,Bihar,SAMASTIPUR,2010,Summer     ,maize,12351,56046,60,44,23,24.7947077,70.04556743,5.722579819,76.72860067
42377,Bihar,SAMASTIPUR,2011,Rabi       ,maize,30039,73836,74,48,17,21.63162756,60.27766379,6.430616465,69.21803098
42384,Bihar,SAMASTIPUR,2011,Summer     ,maize,10246,41009,89,60,17,25.37548751,57.21025565,5.983952675,101.7004306
42399,Bihar,SAMASTIPUR,2012,Rabi       ,maize,30039,98017,69,51,23,22.21738222,72.85462807,6.80163854,106.6213157
42406,Bihar,SAMASTIPUR,2012,Summer     ,maize,10246,56149,96,46,22,20.58314011,69.00128641,6.499936446,66.29390357
42411,Bihar,SAMASTIPUR,2013,Autumn     ,maize,11086,34824,61,60,15,24.87502824,68.74248334,6.265564338,91.26056654
42428,Bihar,SAMASTIPUR,2013,Rabi       ,maize,33107,87568,74,58,18,20.03728219,56.35606753,6.727303282,109.024141
42436,Bihar,SAMASTIPUR,2013,Summer     ,maize,13715,66098,74,43,23,25.95263264,61.89082199,6.325235159,99.57981207
42442,Bihar,SAMASTIPUR,2014,Autumn     ,maize,12114,29411,63,43,17,19.28889933,65.47050802,6.807487794,71.3195307
42458,Bihar,SAMASTIPUR,2014,Rabi       ,maize,33998,94548,99,36,20,20.57981887,65.34583901,6.671085817,78.34604471
42465,Bihar,SAMASTIPUR,2014,Summer     ,maize,10774,32041,77,36,23,24.71417533,56.73426469,6.648725327,88.45361858
42476,Bihar,SARAN,1997,Kharif     ,maize,13564,12462,87,60,23,20.27317074,63.91281869,6.439071996,62.50351892
42483,Bihar,SARAN,1997,Rabi       ,maize,5260,9289,60,38,17,18.41932981,64.23580251,6.474476516,76.41312437
42488,Bihar,SARAN,1997,Summer     ,maize,3648,7380,94,54,17,23.39128187,61.74427165,5.871647806,107.3198135
42501,Bihar,SARAN,1998,Kharif     ,maize,18179,8284,95,38,22,19.84939404,61.24500053,5.730617109,100.7689246
42510,Bihar,SARAN,1998,Rabi       ,maize,5294,17507,84,44,21,21.869274,61.91044947,5.850439831,107.2681929
42514,Bihar,SARAN,1998,Summer     ,maize,4688,4871,77,58,19,22.8056033,56.50768935,5.791649933,101.5952794
42529,Bihar,SARAN,1999,Kharif     ,maize,18472,34915,66,44,20,19.0781471,69.02298571,6.740000688,80.72515943
42539,Bihar,SARAN,1999,Rabi       ,maize,6435,14987,63,35,16,22.02720976,65.35549924,6.272417541,83.73280082
42546,Bihar,SARAN,1999,Summer     ,maize,4968,12458,79,45,20,23.80546189,59.24537979,5.715208817,89.9622014
42558,Bihar,SARAN,2000,Kharif     ,maize,18804,35588,72,60,25,18.52510753,69.0276233,5.773454729,88.10234397
42568,Bihar,SARAN,2000,Rabi       ,maize,5021,12447,67,51,24,23.50297882,61.32026065,5.584171461,64.77791424
42575,Bihar,SARAN,2000,Summer     ,maize,4875,9094,86,36,24,26.54986394,72.89187265,5.787268394,73.33636055
42583,Bihar,SARAN,2001,Autumn     ,maize,18821,29542,76,48,18,19.29563411,69.63481219,5.77597783,83.21030571
42597,Bihar,SARAN,2001,Rabi       ,maize,5184,12680,75,53,18,20.68899915,59.4375337,6.864793607,103.651438
42603,Bihar,SARAN,2001,Summer     ,maize,6936,17548,81,45,23,19.32666088,68.034493,6.192360003,84.22969177
42612,Bihar,SARAN,2002,Autumn     ,maize,18851,35764,73,45,21,24.60532218,73.58868502,6.636803223,96.59195302
42628,Bihar,SARAN,2002,Rabi       ,maize,4956,8742,71,35,24,22.27373646,59.52193158,5.826426917,67.96704792
42634,Bihar,SARAN,2002,Summer     ,maize,5815,15276,96,54,22,25.70196694,61.33450447,6.960358276,83.20711308
42651,Bihar,SARAN,2003,Kharif     ,maize,17975,22654,99,39,18,19.20129357,68.30578978,6.11275104,87.85092352
42661,Bihar,SARAN,2003,Rabi       ,maize,4463,9917,62,48,20,21.70181447,60.47470519,6.708446922,95.71388473
42667,Bihar,SARAN,2003,Summer     ,maize,7183,29034,86,37,16,20.51716779,59.21235483,5.561510732,67.61013737
42682,Bihar,SARAN,2004,Kharif     ,maize,16583,31709,94,50,19,23.30355338,73.62548442,5.873242491,97.59081274
42695,Bihar,SARAN,2004,Rabi       ,maize,5210,13067,76,39,24,24.2547451,55.64709899,6.995843776,64.23845455
42701,Bihar,SARAN,2004,Summer     ,maize,6806,22808,77,52,17,24.86374934,65.7420046,5.714799723,75.82270467
42717,Bihar,SARAN,2005,Kharif     ,maize,18368,35224,74,39,23,22.6265115,65.77472881,6.78073637,88.17251033
42729,Bihar,SARAN,2005,Rabi       ,maize,4967,9149,81,49,20,18.04185513,60.61494304,5.513697923,104.2321615
42736,Bihar,SARAN,2005,Summer     ,maize,4931,7429,63,42,21,23.26237612,72.33125523,5.798423908,67.10225139
42751,Bihar,SARAN,2006,Kharif     ,maize,17974,26446,99,38,21,22.88330922,71.59722446,6.352471866,67.72777298
42761,Bihar,SARAN,2006,Rabi       ,maize,4850,10942,90,52,25,25.97482359,69.36385721,6.822586546,103.2234212
42767,Bihar,SARAN,2006,Summer     ,maize,4953,16447,68,40,19,26.14384005,66.20569924,6.655426355,107.2361366
42771,Bihar,SARAN,2007,Autumn     ,maize,13197,13502,60,57,24,18.66116213,61.55327249,6.121294041,75.03247667
42786,Bihar,SARAN,2007,Rabi       ,maize,5416,8877,71,52,18,25.10787449,55.97732754,5.790770203,78.16077693
42793,Bihar,SARAN,2007,Summer     ,maize,6733,12187,61,59,17,23.33844615,59.24580604,6.47444292,105.0083144
42804,Bihar,SARAN,2008,Autumn     ,maize,16821,7951,88,38,15,25.08239719,65.92195844,6.455116637,62.49190812
42821,Bihar,SARAN,2008,Rabi       ,maize,5503,12563,65,60,22,25.36768364,72.52054555,6.606984086,107.9124111
42831,Bihar,SARAN,2008,Summer     ,maize,6890,22509,78,37,22,25.34217103,63.31801994,6.330554389,74.52082026
42838,Bihar,SARAN,2009,Autumn     ,maize,13282,19565,78,58,15,25.00933355,67.816568,6.528631266,62.91359494
42853,Bihar,SARAN,2009,Rabi       ,maize,6099,10454,92,60,23,18.66746724,71.516474,5.721667141,69.93293255
42858,Bihar,SARAN,2009,Summer     ,maize,5842,9563,79,59,17,20.37999665,63.73849998,6.644205485,108.5054416
42863,Bihar,SARAN,2010,Autumn     ,maize,17483,25111,91,55,15,18.09300227,72.61024172,6.376651091,78.96159541
42873,Bihar,SARAN,2010,Rabi       ,maize,5388,13917,76,51,18,26.16985907,71.96246617,6.247040422,79.84925393
42880,Bihar,SARAN,2010,Summer     ,maize,5563,15473,87,48,25,18.65396672,61.37879671,6.656730008,93.62039175
42885,Bihar,SARAN,2011,Autumn     ,maize,17843,29572,71,60,22,26.07470121,59.37147589,6.2048017,85.75692395
42898,Bihar,SARAN,2011,Rabi       ,maize,6727,28200,90,57,24,18.92851916,72.80086137,6.158860284,82.34162918
42904,Bihar,SARAN,2011,Summer     ,maize,4615,17303,67,35,22,23.30546753,63.24648023,6.385684214,108.7603001
42908,Bihar,SARAN,2012,Autumn     ,maize,16787,34940,60,54,19,18.74826712,62.49878458,6.417820493,70.23401597
42920,Bihar,SARAN,2012,Rabi       ,maize,6054,16679,83,58,23,19.74213321,59.66263104,6.381201909,65.50861389
42926,Bihar,SARAN,2012,Summer     ,maize,4615,13529,83,57,19,25.73044432,70.74739256,6.877869005,98.73771338
42931,Bihar,SARAN,2013,Autumn     ,maize,15762,43669,71,54,16,22.61359953,63.69070564,5.749914421,87.75953857
42942,Bihar,SARAN,2013,Rabi       ,maize,7754,22378,61,44,17,26.10018422,71.57476937,6.931756558,102.2662445
42947,Bihar,SARAN,2013,Summer     ,maize,4846,23354,80,43,16,23.55882094,71.59351368,6.657964753,66.71995467
42952,Bihar,SARAN,2014,Autumn     ,maize,15387,40056,73,58,21,19.97215954,57.68272924,6.596060648,60.65171481
42966,Bihar,SARAN,2014,Rabi       ,maize,6309,19394,61,38,20,18.47891261,62.69503871,5.970458434,65.43835393
42973,Bihar,SARAN,2014,Summer     ,maize,6120,21308,68,41,16,21.77689322,57.80840636,6.158830619,102.0861694
42978,Bihar,SHEIKHPURA,1997,Kharif     ,maize,887,450,93,41,17,25.6217169,66.50415474,6.047906679,105.4654703
42983,Bihar,SHEIKHPURA,1997,Rabi       ,maize,65,246,89,60,19,25.19192419,66.6902901,5.913664501,78.06639649
42988,Bihar,SHEIKHPURA,1997,Summer     ,maize,121,272,76,44,17,20.41683147,62.5542482,5.855442401,65.27798457
42996,Bihar,SHEIKHPURA,1998,Kharif     ,maize,507,242,67,60,25,24.92162194,66.78627406,5.750254943,109.2162279
43003,Bihar,SHEIKHPURA,1998,Rabi       ,maize,71,254,70,44,19,23.31689124,73.4541537,5.852607099,94.29712821
43007,Bihar,SHEIKHPURA,1998,Summer     ,maize,74,128,90,49,21,24.84016732,68.3584573,6.472523287,74.05474936
43015,Bihar,SHEIKHPURA,1999,Kharif     ,maize,4097,5350,62,52,16,22.27526694,58.84015925,6.967057762,63.87020584
43020,Bihar,SHEIKHPURA,1999,Rabi       ,maize,18,66,92,44,16,18.87751445,65.76816093,6.082973754,94.76189431
43025,Bihar,SHEIKHPURA,1999,Summer     ,maize,46,174,66,54,21,25.19008683,60.2001687,5.919045532,72.12375573
43031,Bihar,SHEIKHPURA,2000,Kharif     ,maize,907,1174,63,58,22,18.25405352,55.28220433,6.204747653,63.72358154
43037,Bihar,SHEIKHPURA,2000,Rabi       ,maize,53,194,70,47,17,24.6129118,70.4162444,6.600827017,104.1626147
43043,Bihar,SHEIKHPURA,2000,Summer     ,maize,145,369,61,41,17,25.1420613,65.26185135,6.021902237,76.68456006
43047,Bihar,SHEIKHPURA,2001,Autumn     ,maize,832,1375,66,53,19,23.09348056,60.1159381,6.033550195,65.49730729
43056,Bihar,SHEIKHPURA,2001,Summer     ,maize,146,413,74,55,19,18.05033737,62.89366992,6.28886807,84.23613484
43060,Bihar,SHEIKHPURA,2002,Autumn     ,maize,865,1049,77,57,21,24.9321581,73.80435276,6.550563823,79.74078719
43065,Bihar,SHEIKHPURA,2002,Rabi       ,maize,2,5,99,50,15,18.14710054,71.09445342,5.573286437,88.07753741
43069,Bihar,SHEIKHPURA,2002,Summer     ,maize,82,162,74,56,22,18.28362235,66.65952796,6.829199275,80.97573281
43077,Bihar,SHEIKHPURA,2003,Kharif     ,maize,845,1369,83,45,21,18.83344471,58.75082029,5.716222912,79.7532896
43082,Bihar,SHEIKHPURA,2003,Rabi       ,maize,15,49,100,48,16,25.71895816,67.22190688,5.54990242,74.51490791
43086,Bihar,SHEIKHPURA,2003,Summer     ,maize,194,712,79,51,16,25.33797709,68.49835977,6.586244581,96.46380213
43094,Bihar,SHEIKHPURA,2004,Kharif     ,maize,580,830,94,39,18,23.89114571,57.48775781,5.893093135,102.8301942
43103,Bihar,SHEIKHPURA,2004,Summer     ,maize,182,408,75,49,15,21.53574127,71.50905983,5.918263801,102.4852929
43111,Bihar,SHEIKHPURA,2005,Kharif     ,maize,2131,3010,78,48,22,23.08974909,63.10459626,5.588650585,70.43473609
43120,Bihar,SHEIKHPURA,2005,Rabi       ,maize,16,63,87,54,20,25.61707368,63.4711755,6.576418207,108.8303762
43125,Bihar,SHEIKHPURA,2005,Summer     ,maize,53,120,87,35,25,21.44526922,63.1621551,6.178056304,65.88951188
43132,Bihar,SHEIKHPURA,2006,Kharif     ,maize,1361,1632,63,43,19,18.51816776,55.53128131,6.641906353,90.988051
43138,Bihar,SHEIKHPURA,2006,Rabi       ,maize,13,64,84,57,25,22.53510514,67.99257471,6.489040367,64.40866039
43143,Bihar,SHEIKHPURA,2006,Summer     ,maize,57,210,64,35,23,23.02038334,61.89472002,5.680361038,63.03843397
43145,Bihar,SHEIKHPURA,2007,Autumn     ,maize,564,860,60,46,22,24.89364635,65.61418761,6.625404348,87.9298085
43154,Bihar,SHEIKHPURA,2007,Rabi       ,maize,50,252,98,44,21,25.77175115,74.089114,6.524478032,107.4931917
43159,Bihar,SHEIKHPURA,2007,Summer     ,maize,53,195,75,56,18,19.39851734,62.35750641,5.696205468,60.95197486
43165,Bihar,SHEIKHPURA,2008,Autumn     ,maize,198,247,86,55,21,21.54156232,59.64024162,6.803931519,109.7515385
43172,Bihar,SHEIKHPURA,2008,Rabi       ,maize,29,109,98,35,18,23.79746068,74.82913698,6.252797548,91.76337172
43178,Bihar,SHEIKHPURA,2008,Summer     ,maize,41,134,76,57,18,18.9802729,74.52600826,6.092725883,94.26249353
43182,Bihar,SHEIKHPURA,2009,Autumn     ,maize,125,165,99,56,17,24.10859207,73.13112261,6.234330356,71.07562236
43190,Bihar,SHEIKHPURA,2009,Rabi       ,maize,128,334,60,44,23,24.7947077,70.04556743,5.722579819,76.72860067
43195,Bihar,SHEIKHPURA,2009,Summer     ,maize,53,165,74,48,17,21.63162756,60.27766379,6.430616465,69.21803098
43199,Bihar,SHEIKHPURA,2010,Autumn     ,maize,257,290,89,60,17,25.37548751,57.21025565,5.983952675,101.7004306
43206,Bihar,SHEIKHPURA,2010,Rabi       ,maize,135,567,69,51,23,22.21738222,72.85462807,6.80163854,106.6213157
43211,Bihar,SHEIKHPURA,2010,Summer     ,maize,50,193,96,46,22,20.58314011,69.00128641,6.499936446,66.29390357
43214,Bihar,SHEIKHPURA,2011,Autumn     ,maize,401,541,61,60,15,24.87502824,68.74248334,6.265564338,91.26056654
43222,Bihar,SHEIKHPURA,2011,Rabi       ,maize,70,440,74,58,18,20.03728219,56.35606753,6.727303282,109.024141
43227,Bihar,SHEIKHPURA,2011,Summer     ,maize,41,133,74,43,23,25.95263264,61.89082199,6.325235159,99.57981207
43230,Bihar,SHEIKHPURA,2012,Autumn     ,maize,251,569,63,43,17,19.28889933,65.47050802,6.807487794,71.3195307
43238,Bihar,SHEIKHPURA,2012,Rabi       ,maize,68,233,99,36,20,20.57981887,65.34583901,6.671085817,78.34604471
43246,Bihar,SHEIKHPURA,2013,Autumn     ,maize,601,629,77,36,23,24.71417533,56.73426469,6.648725327,88.45361858
43251,Bihar,SHEIKHPURA,2013,Rabi       ,maize,78,346,87,60,23,20.27317074,63.91281869,6.439071996,62.50351892
43256,Bihar,SHEIKHPURA,2013,Summer     ,maize,37,73,60,38,17,18.41932981,64.23580251,6.474476516,76.41312437
43260,Bihar,SHEIKHPURA,2014,Autumn     ,maize,561,683,94,54,17,23.39128187,61.74427165,5.871647806,107.3198135
43265,Bihar,SHEIKHPURA,2014,Rabi       ,maize,77,266,95,38,22,19.84939404,61.24500053,5.730617109,100.7689246
43270,Bihar,SHEIKHPURA,2014,Summer     ,maize,25,106,84,44,21,21.869274,61.91044947,5.850439831,107.2681929
43277,Bihar,SHEOHAR,1997,Kharif     ,maize,23,44,77,58,19,22.8056033,56.50768935,5.791649933,101.5952794
43282,Bihar,SHEOHAR,1997,Rabi       ,maize,1197,3147,66,44,20,19.0781471,69.02298571,6.740000688,80.72515943
43289,Bihar,SHEOHAR,1997,Summer     ,maize,799,1521,63,35,16,22.02720976,65.35549924,6.272417541,83.73280082
43304,Bihar,SHEOHAR,1998,Kharif     ,maize,318,545,79,45,20,23.80546189,59.24537979,5.715208817,89.9622014
43310,Bihar,SHEOHAR,1998,Rabi       ,maize,830,1529,72,60,25,18.52510753,69.0276233,5.773454729,88.10234397
43314,Bihar,SHEOHAR,1998,Summer     ,maize,807,1721,67,51,24,23.50297882,61.32026065,5.584171461,64.77791424
43328,Bihar,SHEOHAR,1999,Kharif     ,maize,498,1029,86,36,24,26.54986394,72.89187265,5.787268394,73.33636055
43333,Bihar,SHEOHAR,1999,Rabi       ,maize,837,2370,76,48,18,19.29563411,69.63481219,5.77597783,83.21030571
43340,Bihar,SHEOHAR,1999,Summer     ,maize,750,1648,75,53,18,20.68899915,59.4375337,6.864793607,103.651438
43353,Bihar,SHEOHAR,2000,Kharif     ,maize,142,227,81,45,23,19.32666088,68.034493,6.192360003,84.22969177
43359,Bihar,SHEOHAR,2000,Rabi       ,maize,748,2509,73,45,21,24.60532218,73.58868502,6.636803223,96.59195302
43366,Bihar,SHEOHAR,2000,Summer     ,maize,577,1486,71,35,24,22.27373646,59.52193158,5.826426917,67.96704792
43377,Bihar,SHEOHAR,2001,Autumn     ,maize,130,210,96,54,22,25.70196694,61.33450447,6.960358276,83.20711308
43385,Bihar,SHEOHAR,2001,Rabi       ,maize,830,3294,99,39,18,19.20129357,68.30578978,6.11275104,87.85092352
43390,Bihar,SHEOHAR,2001,Summer     ,maize,493,1309,62,48,20,21.70181447,60.47470519,6.708446922,95.71388473
43402,Bihar,SHEOHAR,2002,Autumn     ,maize,126,336,86,37,16,20.51716779,59.21235483,5.561510732,67.61013737
43408,Bihar,SHEOHAR,2002,Rabi       ,maize,826,2205,94,50,19,23.30355338,73.62548442,5.873242491,97.59081274
43413,Bihar,SHEOHAR,2002,Summer     ,maize,480,1502,76,39,24,24.2547451,55.64709899,6.995843776,64.23845455
43429,Bihar,SHEOHAR,2003,Kharif     ,maize,124,153,77,52,17,24.86374934,65.7420046,5.714799723,75.82270467
43433,Bihar,SHEOHAR,2003,Rabi       ,maize,593,2461,74,39,23,22.6265115,65.77472881,6.78073637,88.17251033
43438,Bihar,SHEOHAR,2003,Summer     ,maize,494,1115,81,49,20,18.04185513,60.61494304,5.513697923,104.2321615
43458,Bihar,SHEOHAR,2004,Rabi       ,maize,748,2152,63,42,21,23.26237612,72.33125523,5.798423908,67.10225139
43463,Bihar,SHEOHAR,2004,Summer     ,maize,468,1749,99,38,21,22.88330922,71.59722446,6.352471866,67.72777298
43479,Bihar,SHEOHAR,2005,Kharif     ,maize,23,44,90,52,25,25.97482359,69.36385721,6.822586546,103.2234212
43485,Bihar,SHEOHAR,2005,Rabi       ,maize,768,1484,68,40,19,26.14384005,66.20569924,6.655426355,107.2361366
43491,Bihar,SHEOHAR,2005,Summer     ,maize,279,693,60,57,24,18.66116213,61.55327249,6.121294041,75.03247667
43507,Bihar,SHEOHAR,2006,Kharif     ,maize,29,31,71,52,18,25.10787449,55.97732754,5.790770203,78.16077693
43515,Bihar,SHEOHAR,2006,Rabi       ,maize,668,2940,61,59,17,23.33844615,59.24580604,6.47444292,105.0083144
43521,Bihar,SHEOHAR,2006,Summer     ,maize,275,626,88,38,15,25.08239719,65.92195844,6.455116637,62.49190812
43524,Bihar,SHEOHAR,2007,Autumn     ,maize,7,2,65,60,22,25.36768364,72.52054555,6.606984086,107.9124111
43531,Bihar,SHEOHAR,2007,Rabi       ,maize,1445,2052,78,37,22,25.34217103,63.31801994,6.330554389,74.52082026
43544,Bihar,SHEOHAR,2008,Autumn     ,maize,5,7,78,58,15,25.00933355,67.816568,6.528631266,62.91359494
43552,Bihar,SHEOHAR,2008,Rabi       ,maize,703,1171,92,60,23,18.66746724,71.516474,5.721667141,69.93293255
43562,Bihar,SHEOHAR,2009,Autumn     ,maize,23,41,79,59,17,20.37999665,63.73849998,6.644205485,108.5054416
43571,Bihar,SHEOHAR,2009,Rabi       ,maize,1035,3419,91,55,15,18.09300227,72.61024172,6.376651091,78.96159541
43582,Bihar,SHEOHAR,2010,Autumn     ,maize,222,475,76,51,18,26.16985907,71.96246617,6.247040422,79.84925393
43591,Bihar,SHEOHAR,2010,Rabi       ,maize,681,2448,87,48,25,18.65396672,61.37879671,6.656730008,93.62039175
43598,Bihar,SHEOHAR,2010,Summer     ,maize,195,822,71,60,22,26.07470121,59.37147589,6.2048017,85.75692395
43603,Bihar,SHEOHAR,2011,Autumn     ,maize,235,627,90,57,24,18.92851916,72.80086137,6.158860284,82.34162918
43614,Bihar,SHEOHAR,2011,Rabi       ,maize,1328,3328,67,35,22,23.30546753,63.24648023,6.385684214,108.7603001
43621,Bihar,SHEOHAR,2011,Summer     ,maize,196,837,60,54,19,18.74826712,62.49878458,6.417820493,70.23401597
43625,Bihar,SHEOHAR,2012,Autumn     ,maize,208,774,83,58,23,19.74213321,59.66263104,6.381201909,65.50861389
43636,Bihar,SHEOHAR,2012,Rabi       ,maize,1536,3003,83,57,19,25.73044432,70.74739256,6.877869005,98.73771338
43643,Bihar,SHEOHAR,2012,Summer     ,maize,181,699,71,54,16,22.61359953,63.69070564,5.749914421,87.75953857
43648,Bihar,SHEOHAR,2013,Autumn     ,maize,202,1162,61,44,17,26.10018422,71.57476937,6.931756558,102.2662445
43658,Bihar,SHEOHAR,2013,Rabi       ,maize,1431,4689,80,43,16,23.55882094,71.59351368,6.657964753,66.71995467
43665,Bihar,SHEOHAR,2013,Summer     ,maize,210,1014,73,58,21,19.97215954,57.68272924,6.596060648,60.65171481
43670,Bihar,SHEOHAR,2014,Autumn     ,maize,193,836,61,38,20,18.47891261,62.69503871,5.970458434,65.43835393
43679,Bihar,SHEOHAR,2014,Rabi       ,maize,1436,4851,68,41,16,21.77689322,57.80840636,6.158830619,102.0861694
43686,Bihar,SHEOHAR,2014,Summer     ,maize,195,758,93,41,17,25.6217169,66.50415474,6.047906679,105.4654703
43697,Bihar,SITAMARHI,1997,Kharif     ,maize,514,910,89,60,19,25.19192419,66.6902901,5.913664501,78.06639649
43705,Bihar,SITAMARHI,1997,Rabi       ,maize,1473,3308,76,44,17,20.41683147,62.5542482,5.855442401,65.27798457
43712,Bihar,SITAMARHI,1997,Summer     ,maize,2796,5307,67,60,25,24.92162194,66.78627406,5.750254943,109.2162279
43730,Bihar,SITAMARHI,1998,Kharif     ,maize,1073,1509,70,44,19,23.31689124,73.4541537,5.852607099,94.29712821
43740,Bihar,SITAMARHI,1998,Rabi       ,maize,1712,6204,90,49,21,24.84016732,68.3584573,6.472523287,74.05474936
43744,Bihar,SITAMARHI,1998,Summer     ,maize,1861,3851,62,52,16,22.27526694,58.84015925,6.967057762,63.87020584
43764,Bihar,SITAMARHI,1999,Kharif     ,maize,1394,2768,92,44,16,18.87751445,65.76816093,6.082973754,94.76189431
43775,Bihar,SITAMARHI,1999,Rabi       ,maize,1715,4747,66,54,21,25.19008683,60.2001687,5.919045532,72.12375573
43781,Bihar,SITAMARHI,1999,Summer     ,maize,2072,4673,63,58,22,18.25405352,55.28220433,6.204747653,63.72358154
43798,Bihar,SITAMARHI,2000,Kharif     ,maize,1307,2583,70,47,17,24.6129118,70.4162444,6.600827017,104.1626147
43812,Bihar,SITAMARHI,2000,Rabi       ,maize,1487,4736,61,41,17,25.1420613,65.26185135,6.021902237,76.68456006
43819,Bihar,SITAMARHI,2000,Summer     ,maize,2105,5226,66,53,19,23.09348056,60.1159381,6.033550195,65.49730729
43831,Bihar,SITAMARHI,2001,Autumn     ,maize,836,892,74,55,19,18.05033737,62.89366992,6.28886807,84.23613484
43846,Bihar,SITAMARHI,2001,Rabi       ,maize,1753,6958,77,57,21,24.9321581,73.80435276,6.550563823,79.74078719
43853,Bihar,SITAMARHI,2001,Summer     ,maize,1665,4372,99,50,15,18.14710054,71.09445342,5.573286437,88.07753741
43865,Bihar,SITAMARHI,2002,Autumn     ,maize,483,1044,74,56,22,18.28362235,66.65952796,6.829199275,80.97573281
43878,Bihar,SITAMARHI,2002,Rabi       ,maize,1714,4775,83,45,21,18.83344471,58.75082029,5.716222912,79.7532896
43885,Bihar,SITAMARHI,2002,Summer     ,maize,1657,5142,100,48,16,25.71895816,67.22190688,5.54990242,74.51490791
43903,Bihar,SITAMARHI,2003,Kharif     ,maize,484,813,79,51,16,25.33797709,68.49835977,6.586244581,96.46380213
43916,Bihar,SITAMARHI,2003,Rabi       ,maize,672,2720,94,39,18,23.89114571,57.48775781,5.893093135,102.8301942
43922,Bihar,SITAMARHI,2003,Summer     ,maize,1085,2432,75,49,15,21.53574127,71.50905983,5.918263801,102.4852929
43939,Bihar,SITAMARHI,2004,Kharif     ,maize,210,374,78,48,22,23.08974909,63.10459626,5.588650585,70.43473609
43949,Bihar,SITAMARHI,2004,Rabi       ,maize,1057,2029,87,54,20,25.61707368,63.4711755,6.576418207,108.8303762
43955,Bihar,SITAMARHI,2004,Summer     ,maize,1384,4315,87,35,25,21.44526922,63.1621551,6.178056304,65.88951188
43972,Bihar,SITAMARHI,2005,Kharif     ,maize,212,372,63,43,19,18.51816776,55.53128131,6.641906353,90.988051
43982,Bihar,SITAMARHI,2005,Rabi       ,maize,1611,1260,84,57,25,22.53510514,67.99257471,6.489040367,64.40866039
43988,Bihar,SITAMARHI,2005,Summer     ,maize,4202,10418,64,35,23,23.02038334,61.89472002,5.680361038,63.03843397
44004,Bihar,SITAMARHI,2006,Kharif     ,maize,210,288,60,46,22,24.89364635,65.61418761,6.625404348,87.9298085
44013,Bihar,SITAMARHI,2006,Rabi       ,maize,1737,3333,98,44,21,25.77175115,74.089114,6.524478032,107.4931917
44018,Bihar,SITAMARHI,2006,Summer     ,maize,4202,8939,75,56,18,19.39851734,62.35750641,5.696205468,60.95197486
44022,Bihar,SITAMARHI,2007,Autumn     ,maize,675,343,86,55,21,21.54156232,59.64024162,6.803931519,109.7515385
44037,Bihar,SITAMARHI,2007,Rabi       ,maize,913,1096,98,35,18,23.79746068,74.82913698,6.252797548,91.76337172
44045,Bihar,SITAMARHI,2007,Summer     ,maize,4058,8966,76,57,18,18.9802729,74.52600826,6.092725883,94.26249353
44057,Bihar,SITAMARHI,2008,Autumn     ,maize,765,1376,99,56,17,24.10859207,73.13112261,6.234330356,71.07562236
44074,Bihar,SITAMARHI,2008,Rabi       ,maize,1674,2789,60,44,23,24.7947077,70.04556743,5.722579819,76.72860067
44084,Bihar,SITAMARHI,2008,Summer     ,maize,3354,11005,74,48,17,21.63162756,60.27766379,6.430616465,69.21803098
44092,Bihar,SITAMARHI,2009,Autumn     ,maize,614,610,89,60,17,25.37548751,57.21025565,5.983952675,101.7004306
44103,Bihar,SITAMARHI,2009,Rabi       ,maize,986,3189,69,51,23,22.21738222,72.85462807,6.80163854,106.6213157
44109,Bihar,SITAMARHI,2009,Summer     ,maize,3275,8063,96,46,22,20.58314011,69.00128641,6.499936446,66.29390357
44114,Bihar,SITAMARHI,2010,Autumn     ,maize,715,811,61,60,15,24.87502824,68.74248334,6.265564338,91.26056654
44127,Bihar,SITAMARHI,2010,Rabi       ,maize,976,6169,74,58,18,20.03728219,56.35606753,6.727303282,109.024141
44133,Bihar,SITAMARHI,2010,Summer     ,maize,3112,8888,74,43,23,25.95263264,61.89082199,6.325235159,99.57981207
44138,Bihar,SITAMARHI,2011,Autumn     ,maize,969,2778,63,43,17,19.28889933,65.47050802,6.807487794,71.3195307
44151,Bihar,SITAMARHI,2011,Rabi       ,maize,1950,10897,99,36,20,20.57981887,65.34583901,6.671085817,78.34604471
44158,Bihar,SITAMARHI,2011,Summer     ,maize,3097,12097,77,36,23,24.71417533,56.73426469,6.648725327,88.45361858
44162,Bihar,SITAMARHI,2012,Autumn     ,maize,149,751,87,60,23,20.27317074,63.91281869,6.439071996,62.50351892
